index,w,w_mado,d
0,[0.29824302 0.06025561 0.22215433 0.07969814 0.3396489 ],0.0039474787348147,5
1,[0.06885173 0.55483107 0.05563561 0.16887648 0.15180511],0.0464381845219718,5
2,[0.09743292 0.35547952 0.14174377 0.25772855 0.14761524],0.0064179729874039,5
3,[0.09316609 0.17223102 0.53320194 0.07727867 0.12412228],0.1619621812283267,5
4,[0.49322709 0.06174966 0.2079782  0.13352467 0.10352039],0.1233230865753079,5
5,[0.4955136  0.21524548 0.06093312 0.11607748 0.11223033],0.0664800827110154,5
6,[0.38765177 0.10164494 0.20862272 0.15844514 0.14363542],0.0863215529663152,5
7,[0.22636216 0.05237011 0.06433504 0.23259284 0.42433985],0.045316293106416,5
8,[0.01580319 0.01115368 0.38633617 0.08670266 0.50000431],0.0420704903128359,5
9,[0.08504407 0.37757477 0.35245618 0.00653504 0.17838994],0.0535727571692573,5
10,[0.59150179 0.02143153 0.15822881 0.1041306  0.12470727],0.041433836309906,5
11,[0.07526285 0.0053625  0.21399332 0.31567488 0.38970645],0.0206763199021471,5
12,[0.6147869  0.03020538 0.1487264  0.20511021 0.0011711 ],0.0893902592731205,5
13,[0.47054336 0.05124082 0.16564725 0.27032254 0.04224603],0.3771406267293116,5
14,[0.12732579 0.41714681 0.04828375 0.27843056 0.12881309],0.0278806611445589,5
15,[0.16188815 0.74320554 0.04479773 0.0059576  0.04415098],0.3289818758107657,5
16,[0.45366426 0.25384629 0.13172226 0.05123151 0.10953568],0.0329877747963707,5
17,[0.12553862 0.54317892 0.26737242 0.04767115 0.01623889],0.1180663248104613,5
18,[0.05546733 0.2902418  0.06975064 0.07986548 0.50467475],0.0880006292891045,5
19,[0.34669642 0.07830267 0.01512459 0.40236773 0.15750859],0.0263414799027799,5
20,[0.15345512 0.26974113 0.0144645  0.44196791 0.12037134],0.0083037228036765,5
21,[0.07104354 0.36153779 0.43994108 0.1243964  0.00308119],0.0916635758391095,5
22,[0.59810451 0.13447214 0.01481101 0.10602591 0.14658643],0.1172149948372035,5
23,[0.44965539 0.05453638 0.17015255 0.18791825 0.13773743],0.0417671636925467,5
24,[0.04552238 0.26933895 0.14763507 0.27760266 0.25990094],0.141516147925638,5
25,[0.53461727 0.04267103 0.37651995 0.03836467 0.00782707],0.1751350780916065,5
26,[0.02043292 0.27985947 0.48686308 0.20440297 0.00844156],0.1361149249253895,5
27,[0.28091336 0.3300763  0.03068296 0.11916076 0.23916662],0.1206677964363987,5
28,[0.3507948  0.24862168 0.19210616 0.12733952 0.08113784],0.0477560442053599,5
29,[0.49185306 0.0048217  0.31354507 0.05322542 0.13655475],0.0808463411983999,5
30,[0.06367645 0.04359697 0.20052681 0.14951266 0.5426871 ],0.0800805682264051,5
31,[0.05197927 0.05658536 0.62601228 0.08309773 0.18232536],0.2268313932626204,5
32,[0.26247721 0.13338946 0.17613959 0.23821931 0.18977444],0.0281627923204054,5
33,[0.20565803 0.29184506 0.14630581 0.14804589 0.20814521],0.0205895017307705,5
34,[0.08341509 0.1041139  0.20713259 0.28106721 0.32427121],0.0131570745358387,5
35,[0.1334466  0.05677433 0.52360188 0.20992866 0.07624853],0.0323153882194052,5
36,[0.08120187 0.27340437 0.4769221  0.12833751 0.04013416],0.0783401464572434,5
37,[0.36163984 0.16219099 0.33935366 0.08699756 0.04981795],0.0196079310724897,5
38,[0.12385566 0.19438576 0.29925666 0.0061715  0.37633042],0.0302185731922481,5
39,[0.51430731 0.0129754  0.30736432 0.07190177 0.09345119],0.113917200684104,5
40,[0.16071814 0.42665577 0.27928058 0.11601375 0.01733177],0.0448591341726303,5
41,[0.01013952 0.16625253 0.35330409 0.16490799 0.30539586],0.108127146160518,5
42,[0.01267078 0.48359671 0.10644324 0.15230778 0.24498149],0.0126866439122966,5
43,[0.32600512 0.0590012  0.38355996 0.09967651 0.1317572 ],0.0394447130617643,5
44,[0.14510356 0.00300176 0.07473916 0.10371111 0.67344441],0.2739996632111338,5
45,[0.24499174 0.05521544 0.31198699 0.26126619 0.12653964],0.052011007309668,5
46,[0.11179465 0.13827263 0.16313469 0.16788668 0.41891134],0.1347046239698654,5
47,[0.40086317 0.13115137 0.1275059  0.10622723 0.23425233],0.1492389315990673,5
48,[0.33006145 0.35381223 0.16726585 0.09089441 0.05796607],0.22883588246289,5
49,[0.14308186 0.3801628  0.13291454 0.04827311 0.29556769],0.2411604851279405,5
50,[0.29178577 0.02911608 0.50589487 0.00673195 0.16647133],0.0264826233654263,5
51,[0.07388953 0.01736173 0.30319825 0.29634459 0.3092059 ],0.0914601019665741,5
52,[0.08125638 0.28883749 0.17564421 0.23194728 0.22231464],0.1170161480020743,5
53,[0.39600246 0.22310969 0.0386503  0.29849387 0.04374368],0.0840938051352994,5
54,[0.23241666 0.1058561  0.03620775 0.53461354 0.09090595],0.2809918622088975,5
55,[0.09267918 0.2483612  0.13895478 0.44422233 0.07578251],0.1944297348967222,5
