"","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,50.5,54.1,38.9,47,55.1,45,23,NA,45,55.1,85.6,28.4,50.6,41.5,35.8,48.2,37.8,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,55.4,65.1,58.3,38,61.8,38.2,95.8,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,67.4,64,77.2,64.2,59.4,39.6,64,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,34.3,42.9,45,54.6,72.9,53.6,40.9,41.1,48.3,58.9,81.3,73.4,59.2,34.6,68.3,59.9,50.2,38.4,44.6,45.4,52.4,51.6,54,86.1,83.9,64.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,33,68,78,49.2,61.8,NA,52.8,80.6,118.2,147,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,66,95.8,35.8,68.1,44.7,NA,57.4,62.2,32.8,56.9,NA,36.1,62.2,37.6,39.4,134.9,85.3,25.9,30,NA,NA,109,39.9,48.5,48,66.8,62.7,43.9,53.1,82.8,58.4,55.2,74,48.6,67.3,45.1,77,34.1,50.9,44.5,55.6,49.9,36.8,69.8,56.6,39.3,73,49.3,67.8,63.2,33.1,71.1,112.7,48.3,63.5,71.7,66.8,98.7,120.7,75.3,72.1,61.5,90.3,69.1,60.1,65.2,55.4,122.2,103.6,47,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,51.8,57.1,84.6,79.5,49.8,49.5,68.8,38.6,39.1,57.9,44.4,NA,55.4,46.4,83.5,67.2,56.9,44.2,42.5,33.2,49.6,36.8,119.6,75.5,63.1,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.7,48.3,NA,84.6,NA,NA,NA,NA,92.7,101.1,56.4,66.8,51.1,48,77.7,NA,NA,66.5,50,148.6,57.4,53.8,46.7,78.2,65.8,73.2,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9,105.7,78.5,66.3,129.3,85.9,63.5,56.4,74.9,107.9,59.7,55.1,125.2,80.8,95.2,80.8,85.1,161,72.1,78.7,83,79.7,76.4,133.3,68.4,59.6,81.8,109.3,50.4,54.6,48,64.4,101.8,59.7,50.4,51.5,56,NA,NA,NA,NA,100.7,50.4,73.2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,38.9,91.7,45.2,45.2,46,59.4,38.9,35.6,35.3,NA,24.2,31.9,42.1,46.2,39.7,57.1,40.4,47.1,60.3,30.7,40,59,51.5,40.5,58.5,47.6,63.5,70.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,38.6,64,37.8,40.1,29.2,45,50.3,43.9,66.5,42.4,47.5,45.9,41.2,62.7,43.8,38.3,46.3,43.3,32.7,39.9,26.7,39.8,40.8,38,43,NA,40.8,51.3,70.1,59.1,35.6,53.6,41.4,48.3,38.2,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,58.7,103.4,NA,NA,30,40.9,32.3,53.3,52.3,50,98.3,29.5,47.2,41.4,35.1,31,NA,49.5,38.1,33,38.9,36.6,49.5,38.9,39.9,38.9,39.1,45,45,45,55.9,30.2,46,36.8,41.7,38.6,38.9,21.2,40.8,59.3,70.1,42,40.8,46.6,38.2,68.9,45.4,52.8,55.4,75.4,45.9,64.2,60.6,32.8,71.5,67.5,57.6,59.1,57,41,33.8,45.2,89.1,68.4,43.2,52,51.4,54.2,59,98.4,48.2,42.8,NA,NA,NA,127.8,33
